SCIENTIFIC NAME
Coracina dobsoni
Coracina macei
Corvus corax
Corvus corone
Corvus macrorhynchos
Corvus monedula
Corvus splendens
Coturnix coromandelica
Coturnix coturnix
Cuculus canorus
Cuculus micropterus
Cuculus poliocephalus
Cuculus saturatus
Culicicapa ceylonensis
Cursorius coromandelicus
Cursorius cursor
Cutia nipalensis
Cyanoderma ambiguum
Cyanoderma chrysaeum
Cyanoderma pyrrhops
Cyanoderma ruficeps
Cyanoptila cyanomelana
Cyornis concretus
Cyornis nicobaricus
Cyornis pallipes
Cyornis poliogenys
Cyornis rubeculoides
Cyornis tickelliae
Cyornis unicolor
Cypsiurus balasiensis
Delichon dasypus
Delichon nipalense
Delichon urbicum
Dendrocitta bayleii
Dendrocitta formosae
Dendrocitta frontalis
Dendrocitta leucogastra
Dendrocitta vagabunda
Dendrocopos analis
Dendrocopos atratus
Dendrocopos auriceps
Dendrocopos canicapillus
Dendrocopos cathpharius
Dendrocopos darjellensis
Dendrocopos himalayensis
Dendrocopos hyperythrus
Dendrocopos macei
Dendrocopos mahrattensis
Dendrocopos nanus
Dendrocygna bicolor
Dendrocygna javanica
Dendronanthus indicus
Dicaeum agile
Dicaeum chrysorrheum
Dicaeum concolor
Dicaeum cruentatum
Dicaeum erythrorhynchos
Dicaeum ignipectus
Dicaeum minullum
Dicaeum virescens
Dicrurus aeneus
Dicrurus andamanensis
Dicrurus annectans
Dicrurus caerulescens
Dicrurus hottentottus
Dicrurus leucophaeus
Dicrurus macrocercus
Dicrurus m
acrocercus
Dicrurus macrocercus
Dicrurus paradiseus
Dicrurus remifer
Dinopium benghalense
Dinopium javanense
Dinopium shorii
Dromas ardeola
Dryocopus hodgei
Dryocopus javensis
Ducula aenea
Ducula badia
Ducula bicolor
Ducula nicobarica
Dumetia hyperythra
Egretta garzetta
Egretta gularis
Egretta sacra
Elanus caeruleus
Emberiza aureola
Emberiza bruniceps
Emberiza buchanani
Emberiza cia
Emberiza fucata
Emberiza leucocephalos
Emberiza melanocephala
Emberiza pusilla
Emberiza rutila
Emberiza schoeniclus
Emberiza spodocephala
Emberiza stewarti
Emberiza striolata
Enicurus immaculatus
Enicurus leschenaulti
Enicurus maculatus
Enicurus schistaceus
Enicurus scouleri
Ephippiorhynchus asiaticus
Eremophila alpestris
Eremopterix griseus
Eremopterix nigriceps
Erpornis zantholeuca
Esacus magnirostris
Esacus recurvirostris
Eudynamys scolopaceus
Eumyias albicaudatus
Eumyias thalassinus
Euodice malabarica
Eurystomus orientalis
Falco amurensis
Falco cherrug
Falco chicquera
Falco columbarius
Falco jugger
Falco naumanni
Falco pelegrinoides
Falco peregrinus
Falco severus
Falco subbuteo
Falco tinnunculus
Ficedula albicilla
Ficedula hodgsoni
Ficedula hyperythra
Ficedula nigrorufa
Ficedula parva
Ficedula sapphira
Ficedula sordida
Ficedula strophiata
Ficedula subrubra
Ficedula superciliaris
Ficedula tricolor
Ficedula westermanni
Francolinus francolinus
Francolinus gularis
Francolinus pictus
Francolinus pondicerianus
Fringilla coelebs
Fulica atra
Fulvetta manipurensis
Fulvetta vinipectus
Galerida cristata
Galerida deva
Galerida malabarica
Gallicrex cinerea
Gallinago gallinago
Gallinago megala
Gallinago nemoricola
Gallinago solitaria
Gallinago stenura
Gallinula chloropus
Gallirallus striatus
Galloperdix lunulata
Galloperdix spadicea
Gallus gallus
Gallus sonneratii
Gampsorhynchus rufulus
Garrulax leucolophus
Garrulax merulinus
Garrulax monileger
Garrulus glandarius
Garrulus lanceolatus
Gecinulus grantia
Gelochelidon nilotica
Geokichla citrina
Geokichla wardii
Glareola lactea
Glareola maldivarum
Glareola pratincola
Glaucidium brodiei
Glaucidium cuculoides
Glaucidium radiatum
Gorsachius melanolophus
Gracula indica
Gracula religiosa
Gracupica contra
Graminicola bengalensis
Grammatoptila striata
Grandala coelicolor
Grus antigone
Grus grus
Grus leucogeranus
Grus nigricollis
Gypaetus barbatus
Gyps bengalensis
Gyps fulvus
Gyps himalayensis
Gyps indicus
Gyps tenuirostris
Haematopus ostralegus
Haematospiza sipahi
Halcyon coromanda
Halcyon pileata
Halcyon smyrnensis
Haliaeetus albicilla
Haliaeetus leucogaster
Haliaeetus leucoryphus
Haliastur indus
Harpactes erythrocephalus
Harpactes fasciatus
Harpactes wardi
Hemicircus canente
Hemiprocne coronata
Hemipus picatus
Hemixos flavala
Heterophasia capistrata
Heterophasia gracilis
Heterophasia picaoides
Heterophasia pulchella
Hieraaetus pennatus
Hierococcyx nisicolor
Hierococcyx sparverioides
Hierococcyx varius
Himantopus himantopus
Hirundapus caudacutus
Hirundapus cochinchinensis
Hirundapus giganteus
Hirundo domicola
Hirundo rustica
Hirundo smithii
Hirundo tahitica
Horornis brunnescens
Horornis flavolivaceus
Horornis fortipes
Houbaropsis bengalensis
Hydrophasianus chirurgus
Hydroprogne caspia
Hydrornis cyaneus
Hydrornis nipalensis
Hypocolius ampelinus
Hypothymis azurea
Hypsipetes ganeesa
Hypsipetes leucocephalus
Hypsipetes virescens
Ianthocincla albogularis
Ianthocincla caerulata
Ianthocincla cineracea
Ianthocincla delesserti
Ianthocincla galbana
Ianthocincla gularis
Ianthocincla nuchalis
Ianthocincla ocellata
Ianthocincla pectoralis
Ianthocincla ruficollis
Ianthocincla rufogularis
Ianthocincla sannio
Ibidorhyncha struthersii
Ichthyaetus ichthyaetus
Ichthyophaga humilis
Ichthyophaga ichthyaetus
Ictinaetus malaiensis
Iduna aedon
Iduna caligata
Iduna rama
Indicator xanthonotus
Iole indica
Iole virescens
Irena puella
Ithaginis cruentus
Ixobrychus cinnamomeus
Ixobrychus flavicollis
Ixobrychus minutus
Ixobrychus sinensis
Ixos mcclellandii
Jynx torquilla
Ketupa flavipes
Ketupa ketupu
